Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
,1,1,4663750.0,34.179257,-118.084495,6816.0,646 - Pasadena (NE),Los Angeles,1,4.0,1997.0,7,Pasadena,5,1,2,2,,0,4.0,,1000.0,39839.0,2026-05
,0,0,2510000.0,37.58332907,-122.34390148,1380.0,699 - Not Defined,San Mateo,1,1.0,1939.0,1,Burlingame,2,1,,0,,0,1.0,Other,,5038.0,2026-05
Laminate,0,0,1100000.0,37.26420208,-121.87089644,1506.0,699 - Not Defined,Santa Clara,1,2.0,1970.0,2,San Jose,3,1,,0,,0,2.0,San Jose Unified,,7658.0,2026-05
,1,0,635000.0,33.029204,-116.85185,1688.0,92065 - Ramona,San Diego,1,4.0,1975.0,2,Ramona,3,0,1,1,,0,4.0,Ramona Unified,0.0,26571.0,2026-05
,0,1,1365000.0,33.672767,-117.899621,1867.0,C4 - Central Costa Mesa,Orange,1,2.0,1964.0,2,Costa Mesa,4,1,1,1,4,0,2.0,Newport Mesa Unified,0.0,6696.0,2026-05
,0,0,2789000.0,33.599018,-117.695387,2634.0,S2 - Laguna Hills,Orange,1,2.0,1976.0,3,Laguna Hills,4,1,2,2,5,0,2.0,Laguna Beach Unified,0.0,6930.0,2026-05
,1,0,1200000.0,33.772777000000005,-118.149972,1488.0,"2 - Belmont Heights, Alamitos Heights",Los Angeles,0,1.0,1920.0,3,Long Beach,3,1,1,1,3,0,1.0,Long Beach Unified,0.0,6498.0,2026-05
"Carpet,Wood",1,1,10998000.0,33.643807,-117.790345,5386.0,SH - Shady Canyon,Orange,1,4.0,2004.0,5,Irvine,4,1,1,1,4,0,4.0,Irvine Unified,1100.0,27007.0,2026-05
"Tile,Wood",1,0,1132500.0,36.96716098,-121.87511551,1658.0,699 - Not Defined,Santa Cruz,0,2.0,1979.0,3,Aptos,3,1,,0,,0,0.0,Other,,11326.0,2026-05
,0,0,6063320.0,32.99867012,-117.17554612,5695.0,92067 - Rancho Santa Fe,San Diego,1,10.0,1990.0,7,Rancho Santa Fe,6,0,2,2,,0,4.0,,2820.0,,2026-05
"Carpet,Laminate,Tile",1,0,292500.0,38.01169141,-120.27201858,1502.0,,Tuolumne,1,8.0,1978.0,2,Sonora,3,1,1,1,,0,2.0,,,35719.0,2026-05
"Carpet,Laminate,Tile",0,1,1175000.0,33.899028,-117.846541,2509.0,84 - Placentia,Orange,1,2.0,1966.0,2,Placentia,5,1,2,2,1,0,2.0,Placentia-Yorba Linda Unified,0.0,7200.0,2026-05
,0,0,1310000.0,33.850688,-118.365062,1120.0,131 - West Torrance,Los Angeles,1,2.0,1955.0,1,Torrance,3,0,1,1,3,0,2.0,Torrance Unified,0.0,5252.0,2026-05
,1,1,710000.0,34.13199,-117.87598,1242.0,629 - Glendora,Los Angeles,1,4.0,1960.0,2,Glendora,3,1,1,1,3,0,4.0,Glendora Unified,0.0,8807.0,2026-05
"Carpet,Wood",0,0,725812.0,34.217406,-118.879752,1378.0,TOW - Thousand Oaks West,Ventura,0,2.0,1979.0,2,Thousand Oaks,3,1,1,1,,0,2.0,Conejo Valley Unified,,7840.0,2026-05
