Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
"Stone,Wood",1,1,10556000.0,34.100056,-118.40358,10359.0,C02 - Beverly Hills Post Office,Los Angeles,1,6.0,2022.0,9,Beverly Hills,5,1,,0,,0,3.0,,,21423.0,2026-04
"Carpet,Tile,Vinyl",1,0,1549000.0,33.453018,-117.649673,2391.0,SN - San Clemente North,Orange,1,4.0,1981.0,3,San Clemente,3,1,2,2,0,0,2.0,Capistrano Unified,115.0,6300.0,2026-04
,1,0,870000.0,34.153981,-118.22317,1545.0,626 - Glendale-Northwest,Los Angeles,1,2.0,1962.0,2,Glendale,3,0,,0,,0,2.0,,,4054.0,2026-04
,0,0,4280000.0,37.37049851,-122.09839454,1501.0,699 - Not Defined,Santa Clara,0,0.0,1947.0,2,Los Altos,3,1,,0,,0,0.0,Other,,10800.0,2026-04
,0,0,4210000.0,34.055475,-118.405262,3250.0,C09 - Beverlywood Vicinity,Los Angeles,0,0.0,1946.0,5,Los Angeles,5,0,2,2,,0,,,,6128.0,2026-04
Wood,1,0,2380000.0,34.115996,-118.264114,2340.0,606 - Atwater,Los Angeles,0,0.0,1923.0,3,Los Angeles,4,0,1,1,4,0,0.0,Los Angeles Unified,0.0,5009.0,2026-04
,1,1,1790000.0,33.782964,-118.077515,2122.0,51 - Rossmoor,Orange,0,2.0,1958.0,2,Rossmoor,3,1,1,1,3,0,2.0,Los Alamitos Unified,0.0,7910.0,2026-04
"Tile,Wood",0,0,2700000.0,37.527440000000006,-122.30874761,2473.0,699 - Not Defined,San Mateo,1,2.0,1947.0,4,San Mateo,4,1,,0,,0,2.0,Other,,5767.0,2026-04
,0,0,1400000.0,34.145264000000005,-117.98313600000002,2756.0,639 - Monrovia,Los Angeles,1,2.0,1941.0,2,Monrovia,3,1,1,1,3,0,2.0,Los Angeles Unified,0.0,15779.0,2026-04
Concrete,1,1,1700000.0,34.111197,-116.315892,2092.0,,San Bernardino,1,6.0,2021.0,3,Joshua Tree,4,0,1,1,,0,2.0,,,24000.0,2026-04
"Laminate,Tile",1,0,749900.0,33.827449,-117.915116,719.0,78 - Anaheim East of Harbor,Orange,0,0.0,1925.0,1,Anaheim,2,0,1,1,1,0,0.0,Anaheim Union High,0.0,5160.0,2026-04
"Tile,Wood",0,0,4095000.0,37.37312877,-122.08578555,2695.0,699 - Not Defined,Santa Clara,1,2.0,2025.0,4,Mountain View,5,1,,0,,0,2.0,Other,,7291.0,2026-04
Wood,1,0,2450000.0,34.189214,-118.902691,3604.0,TOW - Thousand Oaks West,Ventura,0,2.0,1988.0,3,Thousand Oaks,2,1,,0,,0,2.0,,,99752.0,2026-04
,1,0,940000.0,33.656597999999995,-117.56974,1529.0,RR - Robinson Ranch,Orange,1,2.0,1987.0,3,Trabuco Canyon,3,0,2,2,0,0,2.0,Saddleback Valley Unified,170.0,5000.0,2026-04
,1,0,1100000.0,33.81446,-118.370577,924.0,130 - Southwood,Los Angeles,0,0.0,1949.0,1,Torrance,2,0,1,1,2,0,0.0,Torrance Unified,0.0,6408.0,2026-04
Laminate,0,0,1251000.0,33.971379,-118.391678,981.0,C29 - Westchester,Los Angeles,0,4.0,1947.0,1,Los Angeles,3,0,1,1,,0,,,,8494.0,2026-04
,1,1,1050000.0,34.466569,-118.513526,2941.0,COPN - Copper Hill North,Los Angeles,1,2.0,1999.0,3,Saugus,4,0,2,2,1,0,2.0,William S. Hart Union,0.0,6686.0,2026-04
Concrete,1,1,575000.0,33.83247,-116.531982,1305.0,332 - Central Palm Springs,Riverside,1,2.0,1958.0,2,Palm Springs,2,0,1,1,,0,2.0,,,6098.0,2026-04
"Stone,Wood",0,0,6925000.0,34.130357000000004,-118.390902,5290.0,STUD - Studio City,Los Angeles,1,0.0,1940.0,6,Studio City,4,0,2,2,,0,,,,57278.0,2026-04
"Tile,Wood",1,0,5074151.0,37.4342216,-122.20479217,2852.0,699 - Not Defined,San Mateo,1,2.0,2026.0,4,Menlo Park,4,1,,0,,0,2.0,Other,,6000.0,2026-04
"Carpet,Laminate,Tile",1,1,1800000.0,39.770074,-121.758126,4174.0,,Butte,1,3.0,2006.0,4,Chico,3,1,2,2,3,0,3.0,Chico Unified,128.0,60548.0,2026-04
Tile,0,0,2200000.0,34.051224,-118.38778700000002,2554.0,C09 - Beverlywood Vicinity,Los Angeles,0,2.0,1928.0,3,Los Angeles,4,0,2,2,,0,,,,5762.0,2026-04
,0,0,2262500.0,33.629472,-117.949119,1573.0,N8 - West Newport - Lido,Orange,1,1.0,1962.0,2,Newport Beach,3,1,2,2,1,0,1.0,Newport Mesa Unified,70.0,2480.0,2026-04
,0,0,875000.0,35.156989,-120.67226,846.0,SLBH - Shell Beach,San Luis Obispo,1,1.0,1971.0,1,Pismo Beach,2,0,1,1,2,0,1.0,Lucia Mar Unified,0.0,2680.0,2026-04
