Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
"Carpet,Tile",1,1,1777718.0,34.141513,-118.617913,3050.0,CLB - Calabasas,Los Angeles,1,2.0,1964.0,4,Calabasas,5,1,2,2,5,0,2.0,Las Virgenes,0.0,10942.0,2025-04
,0,0,899000.0,35.114131,-120.593181,1625.0,AG-West of Hwy 101,San Luis Obispo,1,2.0,2006.0,3,Arroyo Grande,3,1,2,2,0,0,2.0,Lucia Mar Unified,0.0,5000.0,2025-04
,0,0,627000.0,33.941097,-116.873342,2652.0,699 - Not Defined,Riverside,0,0.0,1960.0,3,Banning,5,1,1,1,5,0,0.0,Banning Unified,0.0,10019.0,2025-04
,0,1,1600000.0,37.964731,-122.012137,2007.0,699 - Not Defined,Contra Costa,1,2.0,1964.0,2,Concord,4,1,1,1,4,0,2.0,South San Francisco Unified,0.0,10200.0,2025-04
,1,0,3400000.0,34.175637,-118.243547,2972.0,627 - Rossmoyne & Verdu Woodlands,Los Angeles,1,3.0,1980.0,5,Glendale,5,1,2,2,2,0,3.0,Glendale Unified,250.0,13453.0,2025-04
Carpet,0,0,1600000.0,34.153252,-118.158588,1917.0,645 - Pasadena (NW),Los Angeles,1,0.0,,3,Pasadena,3,1,1,1,,0,,,,15284.0,2025-04
Wood,0,0,2325000.0,37.85955681,-122.03992152,2615.0,,Contra Costa,1,3.0,1943.0,3,Alamo,4,1,1,1,,0,3.0,,,15682.0,2025-04
,1,0,1500000.0,33.634068,-117.823674,1798.0,TR - Turtle Rock,Orange,1,2.0,1970.0,2,Irvine,4,1,1,1,4,0,2.0,Irvine Unified,108.0,6048.0,2025-04
Carpet,0,0,690000.0,32.84881083,-116.92757412,938.0,92040 - Lakeside,San Diego,0,2.0,1955.0,2,Lakeside,2,1,1,1,,0,0.0,,,,2025-04
Tile,1,0,2975000.0,33.513051000000004,-117.038473,5287.0,699 - Not Defined,Riverside,1,10.0,2017.0,6,Temecula,6,1,2,2,3,0,5.0,Temecula Unified,394.0,98010.0,2025-04
,0,0,1555000.0,33.399192,-117.593187,1307.0,SE - San Clemente Southeast,Orange,0,2.0,1974.0,2,San Clemente,2,1,1,1,2,0,2.0,Capistrano Unified,0.0,4500.0,2025-04
,0,0,777000.0,33.679771,-117.922319,1427.0,C1 - Mesa Verde,Orange,1,2.0,1959.0,2,Costa Mesa,3,1,1,1,3,0,2.0,Newport Mesa Unified,0.0,7770.0,2025-04
,1,0,1770000.0,34.164884,-118.024931,2550.0,605 - Arcadia,Los Angeles,1,2.0,1953.0,3,Arcadia,3,1,1,1,,0,,,,16229.0,2025-04
,0,0,1735000.0,33.529283,-117.622777,2391.0,SEND - Sendero,Orange,1,2.0,2014.0,3,Rancho Mission Viejo,4,1,2,2,1,0,2.0,Capistrano Unified,300.0,5156.0,2025-04
,0,0,620000.0,32.724329,-117.113106,952.0,92105 - East San Diego,San Diego,1,2.0,1955.0,1,San Diego,3,0,1,1,,0,1.0,San Diego Unified,0.0,5300.0,2025-04
,1,0,512500.0,32.579778000000005,-117.051298,989.0,92154 - Otay Mesa,San Diego,1,4.0,1968.0,2,San Diego,3,0,1,1,3,0,2.0,Sweetwater Union,0.0,5000.0,2025-04
"Carpet,Tile,Wood",1,0,2100000.0,37.84478223,-122.23076106,2635.0,,Alameda,1,2.0,1994.0,3,Oakland,4,1,2,2,,0,2.0,,,7812.0,2025-04
"Carpet,Tile,Wood",1,1,2435000.0,34.212854,-118.15859,3881.0,604 - Altadena,Los Angeles,1,2.0,1998.0,4,Altadena,4,1,2,2,,0,2.0,,513.0,7409.0,2025-04
,1,1,590000.0,34.545476,-117.250429,2492.0,APPV - Apple Valley,San Bernardino,1,2.0,1989.0,2,Apple Valley,3,1,1,1,3,0,2.0,Apple Valley Unified,0.0,29000.0,2025-04
,1,0,526500.0,39.743713,-121.56883899999998,1826.0,,Butte,1,2.0,2025.0,2,Paradise,3,1,1,1,3,1,2.0,Paradise Unified,0.0,10454.0,2025-04
