model,band,n_rows,r2,mae,mape,mdape
LinearRegression,overall,11876,0.7181242301340953,322394.4802098221,0.2996247231879913,0.22655875837259554
DecisionTree,overall,11876,0.7870682674447742,224990.03069973056,0.1642922077915474,0.1079455266955267
RandomForest,overall,11876,0.8967013095996367,156828.06738074965,0.11531275082967277,0.07566920646920593
XGBoost,overall,11876,0.9023244322454586,159220.65005052206,0.11958093137349982,0.0834428794017607
LightGBM,overall,11876,0.9094400579268558,152550.38591378066,0.11547389187254456,0.07971137644383969
LinearRegression,under $500K,1629,,200386.79211206254,0.5398279716152132,0.4251425076448163
LinearRegression,$500K-$1M,4894,,224110.9342375356,0.3097455687951958,0.25386463319708696
LinearRegression,$1M-$2M,3745,,293453.16963516123,0.21219944090181514,0.16643700315040896
LinearRegression,$2M+,1608,,812528.4391661196,0.22909311378010982,0.20328148124324597
DecisionTree,under $500K,1629,,68241.39158993248,0.18060746210469983,0.10606060606060606
DecisionTree,$500K-$1M,4894,,101312.11278912955,0.1343959010433922,0.08216709641089476
DecisionTree,$1M-$2M,3745,,250268.76971962617,0.17590338895801863,0.12916666666666668
DecisionTree,$2M+,1608,,701329.822823383,0.21171204764286053,0.16192973448731113
RandomForest,under $500K,1629,,52206.72088878262,0.14318608907956545,0.07426140536593111
RandomForest,$500K-$1M,4894,,70126.40778587968,0.09387626269380014,0.05825872867414022
RandomForest,$1M-$2M,3745,,166885.93544242193,0.11726812495663565,0.08825823437346966
RandomForest,$2M+,1608,,503270.46763059124,0.1477640125351513,0.12134046767494797
XGBoost,under $500K,1629,,54759.70583563537,0.14870385207275635,0.08367392473118279
XGBoost,$500K-$1M,4894,,73919.91816510013,0.09904719635886935,0.06676215044392055
XGBoost,$1M-$2M,3745,,172895.2898381175,0.12154599323883852,0.09354016272189349
XGBoost,$2M+,1608,,492813.3950559702,0.1479961705879396,0.12197086909280959
LightGBM,under $500K,1629,,54101.70179022875,0.147334334667619,0.08347116390233393
LightGBM,$500K-$1M,4894,,71617.37818056652,0.09584781540096944,0.06474149527834688
LightGBM,$1M-$2M,3745,,165827.20580507454,0.11663507741557579,0.08842264808140277
LightGBM,$2M+,1608,,467685.5574254226,0.14022558159895038,0.11223324008043598
