model,band,n_rows,r2,mae,mape,mdape
LinearRegression,overall,11876,0.7182500522652733,320433.29690544656,0.29603129575178533,0.2218570375349139
DecisionTree,overall,11876,0.7973057265846196,218923.13668238462,0.161337539868937,0.10646601835856213
RandomForest,overall,11876,0.8895917251333242,163075.3271476589,0.11927151111777635,0.0793515137708248
XGBoost,overall,11876,0.8957715284852569,166401.90923395925,0.12498630837700553,0.08679579996783185
LightGBM,overall,11876,0.9053025556955848,156417.52167676683,0.11775929401352818,0.08150568427777682
