config,fit_seconds,pickle_mb,val_r2,test_r2,test_mae,test_mape,test_mdape
default (max_features=1.0),37.12761878967285,4568.431139,0.8913467369777521,0.8918528276267076,159277.26624762185,0.11666313053435647,0.07706152692084943
max_features='sqrt',9.218823432922363,4710.364723,0.8917388729583583,0.8916655541568977,160015.59587798466,0.11659179021882668,0.07742635151515156
max_features='sqrt' + max_depth=20,6.540719509124756,1546.161427,0.8891557207064512,0.8895917251333242,163075.3271476589,0.11927151111777635,0.07935151377082485
