n_train_months,n_train_rows,val_r2,fit_seconds
3,26876,0.8634722862504037,2.0611674785614014
6,58681,0.8827831168274982,0.6055560111999512
9,93282,0.8913241309046143,0.7598044872283936
12,128200,0.8939924054169776,0.9925398826599121
18,188646,0.8934585530028213,1.3623428344726562
24,263552,0.8963080120817963,1.94063138961792
26,284483,0.894916326209955,1.8872997760772705
