test_period,months_held_back,n_test_rows,r2,mae,mape,mdape
2026-05,0,11876,0.9094400579268558,152550.38591378066,0.11547389187254456,0.07971137644383969
2026-04,1,11870,0.9078275860637487,152771.97712003542,0.11746812709218002,0.08014614524544125
2026-03,2,11015,0.911141273605236,145026.59588427382,0.11506901883764542,0.08128418924553744
